"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"011923FC/296/0";"Si&amp;gnature Field";"签名域";;
"011923FC/258/0";"&amp;Sign Document...";"签署文档(&amp;S)...";;
"011923FC/297/0";"Validate Si&amp;gnatures";"验证签名";;
"011923FC/220/0";"Position is beyond the page.";"位置在页面之外。";;
"011923FC/222/0";"File error: not found or could not be opened.";"文件错误：没有找到或无法打开。";;
"011923FC/218/0";"No signature field.";"没有签名域。";;
"011923FC/219/0";"No corresponding page.";"没有对应的页面。";;
"011923FC/217/0";"No permission to sign or certify the file.";"没有签名或者认证文件的权限。";;
"011923FC/221/0";"The specified path has a file with the same name. Failed to create file.";"指定路径已经包含了一个同名文件。创建文件失败。";;
"011923FC/216/0";"Signature has been successfully applied to %d%[1] of %d%[2] PDF file.";"签名已成功应用到%d%[1]/%d%[2]个PDF文件中。";;
"011923FC/223/0";"User cancelled.";"用户已取消。";;
"011923FC/184/0";"Signing %ls...";"正在签署%ls...";;
"011923FC/224/0";" Destination path access is denied.";" 目标路径拒绝访问。";;
"011923FC/225/0";"This is a dynamic XFA PDF document. Please sign or certify it manually.";"这是一个动态XFA文档。请手动签名或者认证。";;
"011923FC/186/0";"Digitally signed by ";"数字签名由 ";;
"011923FC/44/0";"Do not show this message again";"不再显示该消息";;
"011923FC/46/0";"The certificates in the system are unavailable for signing.";"系统中的证书不能用于签名。";;
"011923FC/97/0";"Please select a picture as the icon.";"请选择一张图片作为图标。";;
"011923FC/298/0";"Please ";"请 ";;
"011923FC/165/0";"Signature is not LTV enabled and will expire after %ls";"签名未启用LTV，将在%ls后过期";;
"011923FC/284/0";"The &apos;%s%[1]&apos; signature handler could not support &apos;%s%[2]&apos; format.";"“%s%[1]”的签名处理器不能处理“%s%[2]”格式。";;
"011923FC/285/0";"The &apos;%ls&apos; signature handler could not be found.";"未发现“%ls”的签名处理器。";;
"011923FC/205/0";"No changes allowed/Form fill-in and digital signatures/Commenting, filling form, signing existing signature fields";"不允许更改/填写表单和数字签名/注释，填写表单和签署已存在的签名域";;
"011923FC/70/0";"PKCS#7 - Detached";"PKCS#7 - 分离";;
"011923FC/449/0";"PKCS#11 Modules(*.DLL)|*.DLL|";"PKCS#11模块(*.DLL)|*.DLL|";;
"011923FC/82/0";"Digital Signatures";"数字签名";;
"011923FC/83/0";"&amp;Digital Signatures";"数字签名(&amp;D)";;
"011923FC/86/0";"Signature Properties";"签名属性";;
"011923FC/76/0";"Change &apos;%ls&apos; Signature";"更改“%ls”的签名";;
"011923FC/102/0";"Signature";"签名";;
"011923FC/84/0";"Manage digital signatures";"管理数字签名";;
"011923FC/189/0";"Reason: ";"原因： ";;
"011923FC/208/0";"I am the author of this document/I have reviewed this document/I am approving this document/I am approving this document with my legally binding signature/I attest to the accuracy and integrity of this document/I agree to the terms defined by the placement of my signature in this document/I agree to specified parts of this document";"我是该文档所有者/我审阅了该文档/我正在批准该文档/我正在使用我的具有法律约束力的签名批准该文档/我证实该文档的准确性和完整性/我同意文档中放置我签名的条款/我同意文档中指定的部分";;
"011923FC/190/0";"your signing reason here";"您的签名原因";;
"011923FC/209/0";"Refresh ID List";"刷新ID列表";;
"011923FC/181/0";"PDF Files (*.pdf)|*.pdf||";"PDF 文件(*.pdf)|*.pdf||";;
"011923FC/182/0";"The document could not be saved. The file may be read-only, or opened by another user, please save the document with a different name or in a different folder.";"无法保存此文档。它可能是只读的，或者是正在被其它应用程序使用。请重命名文档或者在不同的文件夹下保存。";;
"011923FC/450/0";"Select PKCS#11 Module";"选择PKCS#11模块";;
"011923FC/253/0";"Create a signature field allowing users to sign a document";"创建一个签名域，允许用户用以签署文档";;
"011923FC/61/0";"There is a leak in this digital signature document, please contact the document provider.";"该数字签名文档有漏洞，请联系文档提供者。 ";;
"011923FC/100/0";"Signed";"签署";;
"011923FC/133/0";"When you directly trust a signer&apos;s certificate that is not issued by a root certificate authority, you should contact the signer to verify the certificate. Once you are confident that the signer is who he/she reports to be, then verify if the certificate is from the signer. For example, you can confirm the certificate&apos;s MD5 digest with the signer. (Use the Certificate Viewer to view the MD5 digest, and to import and directly trust the certificate. )";"当您直接信任一个由非根认证中心颁发的证书时，您应该联系签名者来核实证书。一旦您确信签名者身份，然后核实证书是否来自签名者。例如，您可以跟签名者确认证书的MD5值。（使用证书查看器查看MD5值，并导入和直接信任该证书。）";;
"011923FC/153/0";"The Signer&apos;s identify is invalid because it has expired or is not yet valid.";"签名者的身份证明无效，因为它已过期或尚未生效。";;
"011923FC/148/0";"The signer&apos;s identity is invalid.";"签名者身份无效。";;
"011923FC/64/0";"The signer&apos;s identity is valid.";"签名者身份有效。 ";;
"011923FC/149/0";"The signer&apos;s identity is valid, but revocation of the signer&apos;s identity could not be checked.";"签名者的身份是有效的，但是无法检查签名者身份的吊销状态。";;
"011923FC/65/0";"The signer&apos;s identity is unknown because of errors during validation.";"签名人的身份未知，因为验证期间出错。";;
"011923FC/175/0";"Never";"从不";;
"011923FC/162/0";"Field: %s%[1] on page %d%[2]";"域：%s%[1]在页面%d%[2]上";;
"011923FC/160/0";"Rev.%s%[1]:Signed by %s%[2]";"版本 %s%[1]：由%s%[2]签名";;
"011923FC/161/0";"Certified by %ls";"由%ls认证";;
"011923FC/158/0";"%s%[1] On Page %d%[2]";"%s%[1]在页面%d%[2]上";;
"011923FC/159/0";"Unsigned Signature Fields";"未签署的签名域";;
"011923FC/176/0";"Signature was not yet verified";"签名还未验证";;
"011923FC/156/0";"Last Checked: ";"最后检查时间： ";;
"011923FC/301/0";"Signer";"签名者";;
"011923FC/302/0";"Summary";"摘要";;
"011923FC/453/0";"This signature is unknown because the SM Cryptographic algorithm signature is available for paid users only.";"该签名未知，因为 SM 加密算法签名仅对福昕高级PDF编辑器用户开放。";;
"011923FC/79/0";"Standard Style";"标准样式";;
"011923FC/47/0";"- ";"- ";;
"011923FC/98/0";"All Supported Files|*.pdf;*.bmp;*.dib;*.jpg;*.jpeg;*.jpe;*.ico;*.gif;*.png;*.wmf;*.emf;*.tiff;*.tif|PDF file (*.pdf)|*.pdf|BMP(*.bmp,*.dib)|*.bmp;*.dib|JPEG(*.jpg,*.jpeg,*.jpe)|*.jpg;*.jpeg;*.jpe|ICO(*.ico)|*.ico|GIF(*.gif)|*.gif|PNG(*.png)|*.png|Windows Metafile(*.wmf,*.emf)|*.wmf;*.emf|TIFF (*.tiff,*.tif)|*.tiff;*.tif|";"所有可支持的文件|*.pdf;*.bmp;*.dib;*.jpg;*.jpeg;*.jpe;*.ico;*.gif;*.png;*.wmf;*.emf|PDF文件(*.pdf,)|*.pdf|BMP(*.bmp,*.dib)|*.bmp;*.dib|JPEG(*.jpg,*.jpeg,*.jpe)|*.jpg;*.jpeg;*.jpe|ICO(*.ico)|*.ico|GIF(*.gif)|*.gif|PNG(*.png)|*.png|Windows Metafile(*.wmf,*.emf)|*.wmf;*.emf|TIFF (*.tiff,*.tif)|*.tiff;*.tif|";;
"011923FC/304/0";"Di&amp;gital Signature";"数字签名";;
"011923FC/305/0";"Place an invisible signature and sign it ";"放置不可见的签名并认证文档 ";;
"011923FC/265/0";"Place a signature field and digitally sign the document";"放置一个签名域，并数字签署文档";;
"011923FC/306/0";"Validate Signatures";"验证签名";;
"011923FC/275/0";"Manage digital IDs through Windows certificate stores";"通过Windows证书管理器管理数字证书";;
"011923FC/307/0";"Digitally sign and certify a PDF file.";"数字签名并认证PDF文件。";;
"011923FC/96/0";"Signature style %ls already exists. ";"签名类型%ls已存在。 ";;
"011923FC/77/0";"Signature Field";"签名域";;
"011923FC/256/0";"Apply a digital signature and/or digitally certify the document";"应用数字签名和/或数字证明文件";;
"011923FC/272/0";"Validate all digital signatures";"验证所有数字签名";;
"011923FC/401/0";"Draw";"绘制";;
"011923FC/402/0";"Image";"图像";;
"011923FC/403/0";"Name";"名称";;
"011923FC/404/0";"None";"无";;
"011923FC/131/0";"The integrity of the document that was signed has not yet been verified.";"文档签名后的完整性未验证。";;
"011923FC/69/0";"The signer&apos;s identity has not yet been verified.";"签名者的身份未验证。";;
"011923FC/85/0";"Create Copies";"创建副本";;
"011923FC/67/0";"The signer&apos;s identity is unknown.";"签名者身份未知。";;
"011923FC/66/0";"The signer&apos;s identity is unknown because it has not been included in your list of trusted identities and none of its parent certificates are trusted identities.";"签名者身份未知，因为它和父证书都不包含在信任列表中。";;
"011923FC/308/0";"An error occurred while verifying the signature. Please contact the owner of this file.";"验证数字签名时发生错误。请联系文档作者。";;
"011923FC/155/0";"Certificate Details...";"证书细节...";;
"011923FC/309/0";"There have been subsequent changes to the document";"文档已有附加更改";;
"011923FC/55/0";"The document has been altered or corrupted since the Signature was applied.";"签名应用后，文档被修改或被损坏。";;
"011923FC/53/0";"Signature is INVALID.";"签名无效。";;
"011923FC/168/0";"Signature is invalid:";"签名无效：";;
"011923FC/281/0";"Signer&apos;s certificate is invalid";"签名者的证书无效";;
"011923FC/154/0";"Signature Details";"签名细节";;
"011923FC/50/0";"Signature validity is UNKNOWN.";"签名有效性未知。";;
"011923FC/48/0";"Signature is VALID, signed by %ls.";"签名有效，由%ls签署。";;
"011923FC/174/0";"Validity is unknown";"合法性未知";;
"011923FC/426/0";"Show Signature &amp;Properties...";"显示签名属性(&amp;P)...";;
"011923FC/355/0";"&amp;Clear Signature";"清除签名(&amp;C)";;
"011923FC/356/0";"&amp;Sign Document";"签署文档(&amp;S)";;
"011923FC/169/0";"There are some errors in the formatting or information contained in the signature";"签名的格式或者所包含的信息存在某些错误";;
"011923FC/357/0";"&amp;Validate Signature";"验证签名(&amp;V)";;
"011923FC/115/0";"%d Miscellaneous Change(s)";"%d个其他更改";;
"011923FC/62/0";"Signed by the current user.";"由当前用户签名。";;
"011923FC/63/0";"Certified by the current user.";"由当前用户认证。";;
"011923FC/51/0";"The document has not been modified since this signature was applied.";"签名应用后，该文档没有修改。";;
"011923FC/171/0";"Signature is unknown:";"签名未知：";;
"011923FC/170/0";"Document certification is unknown:";"文档证书未知：";;
"011923FC/172/0";"Signature is valid:";"签名有效：";;
"011923FC/173/0";"Document certification is valid:";"文档认证有效：";;
"011923FC/59/0";"This document has been modified since being certified, but these modifications are allowed and do not invalidate the signature.";"在签名后，该文档被更改过，但这些修改是允许的且不会使签名无效。";;
"011923FC/196/0";"Because this PDF contains signatures, Foxit can save additional information into the document so these signatures can be validated over a longer period of time. The size of the PDF may increase as a result.\n\nClick &quot;Yes&quot; to save the PDF with additional verification information.";"由于该PDF包含签名，福昕可在文档中添加其它信息，以便可长期验证这些签名。 因此，PDF的大小可能会增加。\n\n单击“是”可将其它验证信息保存到该PDF中。";;
"011923FC/210/0";"Cannot find the corresponding digital ID file in the configure file, please contact your IT manage to install correct digital ID file.";"在配置文件中找不到相应的数字证书文件，请联系您的IT管理员安装正确的数字证书文件。";;
"011923FC/39/0";"CRL";" CRL";;
"011923FC/10/0";"The selected certificate is considered invalid because it is found in the Certificate Revocation List (CRL) obtained online.";"所选的证书被认为是无效的，因为它能在在线获取到的证书撤销列表（CRL）中找到。";;
"011923FC/14/0";"The selected certificate is considered valid because it cannot be found in the Certificate Revocation List (CRL) obtained online.";"所选的证书被认为是有效的，因为它未在在线获取到的证书撤销列表（CRL）中找到。";;
"011923FC/360/0";"Fetching CRL From %ls";"正在从%ls提取CRL";;
"011923FC/351/0";"European Union Trusted Lists (EUTL)";"欧盟信任名单(EUTL)";;
"011923FC/350/0";"Foxit Approved Trust List (FATL)";"福昕批准的信任名单(FATL)";;
"011923FC/241/0";"The name &quot;%ls&quot; already exists. ";"该名称“%ls”已经存在了。";;
"011923FC/24/0";"The selected certificate is considered to be valid because it has the OCSP No-Check extension set.";"所选定的证书被认为是有效的，因为它具有OCSP的未检查可拓集合。";;
"011923FC/289/0";"The comparison plug-in is not loaded, please check whether it is loaded or installed.";"比较插件没有加载，请确认其是否已加载或者安装。";;
"011923FC/80/0";"You do not have access rights to this encrypted document.";"您没有权限访问该加密文件。";;
"011923FC/37/0";"OCSP Response";"OCSP响应";;
"011923FC/361/0";"Contacting %ls for OCSP based revocation checking";"联系%ls以进行基于OCSP的吊销检查";;
"011923FC/36/0";"OCSP response signature is invalid";"OCSP响应签名无效";;
"011923FC/32/0";"An attempt was made to determine whether the certificate is valid by doing a revocation check using the Online Certificate Status Protocol (OCSP).";"通过使用在线证书状态协议（OCSP）进行吊销检查，尝试确定证书是否有效。";;
"011923FC/147/0";"The signer&apos;s identity is invalid, because the selected certification path has an invalid policy constraint error.";"签名者的身份无效，因为所选的证书路径具有无效的策略约束错误。";;
"011923FC/27/0";"Failed to download CRL from %ls";"从%ls下载CRL失败";;
"011923FC/31/0";"Cannot open the CRL due to its incorrect format.";"由于错误的格式，CRL无法打开。";;
"011923FC/28/0";"CRL has expired or is not yet valid.";"CRL已过期或已无效。";;
"011923FC/11/0";"The selected certificate is considered invalid because it is found in the Certificate Revocation List (CRL) that is contained in the local cache.";"所选的证书被认为是无效的，因为它能在包含在本地缓存的证书撤销列表（CRL）中找到。";;
"011923FC/9/0";"The selected certificate is considered invalid because it is found in the Certificate Revocation List (CRL) that is embedded in the document.";"所选的证书被认为无效，因为它可以在嵌入到文档中的证书撤销列表（CRL）中找到。";;
"011923FC/8/0";"The selected certificate is considered invalid because it is found in the Certificate Revocation List (CRL) that is embedded in the signature.";"所选的证书被认为无效，因为它可以在嵌入到签名中的证书撤销列表（CRL）中找到。";;
"011923FC/13/0";"The selected certificate is considered valid because it cannot be found in the Certificate Revocation List (CRL) that is embedded in the document.";"所选的证书被认为是有效的，因为它不能在嵌入到文档中的证书撤销列表（CRL）中找到。";;
"011923FC/15/0";"The selected certificate is considered valid because it cannot be found in the Certificate Revocation List (CRL) that is contained in the local cache.";"所选的证书被认为是有效的，因为它不能在包含在本地缓存的证书撤销列表（CRL）中找到。";;
"011923FC/12/0";"The selected certificate is considered valid because it cannot be found in the Certificate Revocation List (CRL) that is embedded in the signature.";"所选的证书被认为是有效的，因为它不能在嵌入到签名中的证书撤销列表（CRL）中找到。";;
"011923FC/25/0";"There were errors encountered while building the certificate chain to a certificate designated as a trusted anchor. Revocation checks were therefore not performed on this certificate. See the message below for more details.";"在将证书链构建到指定为可信锚的证书上时，发生错误。因此吊销检查没有在该证书上执行。请参阅如下信息获取更多细节。";;
"011923FC/34/0";"The selected certificate does not chain up to a certificate designated as a trusted anchor (see the Trust Tab for details). The result is that revocation checks were not performed on this certificate.";"所选定的证书没有链接到指定为可信锚的证书（请参阅信任选项卡以获得详细信息）。因此，未对本证书执行吊销检查。";;
"011923FC/23/0";"The %s%[1] was signed by &quot;%s%[2]&quot; on %s%[3].\n\nClick Signer Details to find more information on the source of the revocation information.";"%s%[1] 是由&quot;%s%[2]&quot;签署在%s%[3]上的。\n\n单击签名者细节，以获得关于吊销信息来源的更多信息。";;
"011923FC/35/0";"The selected certificate does not provide information on how its revocation status can be verified. It cannot be determined whether this certificate is valid or whether it has been revoked.";"所选定的证书没有提供关于如何验证其吊销状态的信息。不能确定该证书是否有效，或者是否已被吊销。";;
"011923FC/18/0";"The selected certificate is considered invalid because it has been revoked as verified in real-time using the Online Certificate Status Protocol (OCSP) obtained online.";"所选的证书被认为是无效的，因为通过在线获取的OCSP进行实时验证时发现此证书已被吊销。";;
"011923FC/21/0";"The selected certificate is considered valid because it has not been revoked as verified in real-time using the Online Certificate Status Protocol (OCSP) obtained online.";"所选的证书被认为是有效的，因为通过在线获取的OCSP进行实时验证时发现此证书未被吊销。";;
"011923FC/41/0";"Self-signed and root certificates do not provide a mechanism for revocation checking.";"自签名和根证书不提供吊销检查的机制。";;
"011923FC/7/0";"The selected certificate is either a trust anchor or is a certificate above the trust anchor in the certificate chain (see the Trust tab for details). No revocation checks are done for such certificates, they are inherently considered trustworthy.";"所选定证书要么是信任锚，要么是证书链上信任锚点之上的证书（详细信息请参阅信任选项卡）。对于这样的证书，不会进行吊销检查，它们本质上被认为是值得信赖的。";;
"011923FC/22/0";"The %s%[1] was signed by &quot;%s%[2]&quot; on %s%[3] and is valid until %s%[4].\n\nClick Signer Details to find more information on the source of the revocation information.";"%s%[1] 是由&quot;%s%[2]&quot;于 %s%[3] 签署的，且其直到 %s%[4] 为止是有效的。\n\n点击签名者细节，以获得关于吊销信息来源的更多信息。";;
"011923FC/33/0";"Failed to request OCSP from %ls";"从%ls请求OCSP失败";;
"011923FC/29/0";"The selected certificate path has errors: Time invalid";"所选的证书路径有错误：时间无效";;
"011923FC/40/0";"The selected certificate is invalid";"所选定的证书无效";;
"011923FC/5/0";"Could not determine whether the selected certificate is valid";"无法确认所选定的证书是否有效";;
"011923FC/6/0";"Revocation checks were not performed";"吊销检查未执行";;
"011923FC/30/0";"The selected certificate has errors:Time invalid";"所选定的证书有错误：时间无效";;
"011923FC/38/0";"The selected certificate is valid";"选定的证书有效";;
"011923FC/362/0";"Check Revocation";"检查吊销";;
"011923FC/26/0";"An attempt was made to determine whether the certificate is valid by checking whether it appeared in any Certificate Revocation Lists (CRLs).";"通过检查证书是否出现在任何证书吊销列表（CRLs）中,尝试确定证书是否有效。";;
"011923FC/146/0";"The signer&apos;s identity was invalid at this time, due to the certificate has been revoked after checking.";"签名者的身份当前是无效的，因为证书在检查后被撤销了。";;
"011923FC/17/0";"The selected certificate is considered invalid because it has been revoked as verified in real-time using the Online Certificate Status Protocol (OCSP) that is embedded in the document.";"所选的证书被认为无效，因为通过嵌入在文档中的OCSP进行实时验证时发现此证书已被吊销。";;
"011923FC/407/0";"The selected certificate is considered invalid because it has been revoked as verified in real-time using the Online Certificate Status Protocol (OCSP) that is contained in the local cache.";"所选的证书被认为无效，因为通过包含在本地缓存中的在线证书状态协议（OCSP）进行实时验证时发现此证书已被吊销。";;
"011923FC/16/0";"The selected certificate is considered invalid because it has been revoked as verified in real-time using the Online Certificate Status Protocol (OCSP) that is embedded in the signature.";"所选的证书被认为无效，因为通过嵌入在签名中的OCSP进行实时验证时发现此证书已被吊销。";;
"011923FC/408/0";"The selected certificate is considered valid because it has not been revoked as verified in real-time using the Online Certificate Status Protocol (OCSP) that is contained in the local cache.";"所选的证书被认为是有效的，因为通过包含在本地缓存中的在线证书状态协议（OCSP）进行实时验证时发现此证书未被吊销。";;
"011923FC/20/0";"The selected certificate is considered valid because it has not been revoked as verified in real-time using the Online Certificate Status Protocol (OCSP) that is embedded in the document";"所选的证书被认为是有效的，因为通过嵌入在文档中的OCSP进行实时验证时发现此证书未被吊销。";;
"011923FC/19/0";"The selected certificate is considered valid because it has not been revoked as verified in real-time using the Online Certificate Status Protocol (OCSP) that is embedded in the signature.";"所选的证书被认为是有效的，因为通过嵌入在签名中的OCSP进行实时验证时发现此证书未被吊销。";;
"011923FC/348/0";"Source of Trust obtained from %s%[1] and %s%[2].";"信任来源来自于%s%[1]和%s%[2]。";;
"011923FC/349/0";"Source of Trust obtained from %ls.";"信任来源来自于%ls。";;
"011923FC/134/0";"tst Files (*.tst)|*.tst|";"tst文件 (*.tst)|*.tst|";;
"011923FC/195/0";"Verifying all signatures";"验证所有签名";;
"011923FC/425/0";"Verifying signature";"验证签名";;
"011923FC/287/0";"- Signed Version";"- 签名版本";;
"011923FC/283/0";"Successfully added selected signature verification information.";"成功添加了选定的签名验证信息。";;
"011923FC/202/0";"Document certified by %ls";"文档由%ls认证";;
"011923FC/201/0";"Signature invalid";"签名不合法";;
"011923FC/204/0";"Validity unknown";"有效性未知";;
"011923FC/203/0";"Signature valid";"签名合法";;
"011923FC/310/0";"Trusted Certificates, which improve your experience with signed documents, are available for download.\n\nWould you like to install them?";"可信任证书可以改善已签名文档所带来的体验，当前可进行下载。\n您想要现在进行安装吗？";;
"011923FC/291/0";"Required DLL file not found, please select &quot;PKCS#7 - Detached&quot; signature in the signature format or reinstall %ls to fix this issue.";"没有找到所需的DLL文件，请在签名格式中选择“PKCS#7-独立”签名或者重装%ls以便修复该问题。";;
"011923FC/163/0";"Click to view this version";"点击查看该版本";;
"011923FC/252/0";"Signature was created using %ls.";"使用%ls创建了签名。";;
"011923FC/127/0";"Signature was validated as of the current time: \n %ls";"签名已于当前时间验证：\n%ls";;
"011923FC/340/0";"Data Encipherment";"数据加密";;
"011923FC/124/0";"Signature is a document timestamp signature.";"该签名是一个文档时间戳签名。";;
"011923FC/244/0";"To timestamp a document, you need to choose a default timestamp server.  Please choose a default timestamp server and try again.";"如为一个文档添加时间戳，您需要选择一台默认的时间戳服务器。请选择默认时间戳服务器后重试。";;
"011923FC/197/0";"&amp;Don&apos;t show this message again";"不再显示该消息(&amp;D)";;
"011923FC/226/0";"Size";"大小";;
"011923FC/157/0";"%ls (invisible signature)";"%ls (不可见签名)";;
"011923FC/422/0";"CRL signing";"CRL签名";;
"011923FC/423/0";"Decipher only";"仅解密";;
"011923FC/424/0";"Encipher only";"仅加密";;
"011923FC/343/0";"Key Agreement";"密钥协议";;
"011923FC/344/0";"Key Cert Sign";"密钥证书签名";;
"011923FC/345/0";"Key Encipherment";"密钥加密";;
"011923FC/228/0";"List of Files";"文件列表";;
"011923FC/381/0";"Mac Integration";"Mac 集成";;
"011923FC/106/0";"Manage Trust";"管理信任";;
"011923FC/105/0";"Document has signatures from signers you haven&apos;t trusted yet. Press Manage Trust to review and trust these signers.";"文档中包含来自您尚未信任的签名者的签名。请点击信任管理查看并信任这些签名者。";;
"011923FC/104/0";"If this document came from a reputable source and you trust the identity of the signer, press the Trust Signer for Future Signatures button to add this signer to your list of trusted certificates and trust all future signatures from this same signer.";"如果该文档来源可信，且您信任签名者的身份，请按下“信任签名者未来的签名”按钮，将此签名者添加到您的可信任证书列表中，并信任来自此签名者未来的所有签名。";;
"011923FC/227/0";"Modified";"修改时间";;
"011923FC/119/0";"%s%[1] annot on Page %d%[2]";"%s%[1]标注位于第%d%[2]页";;
"011923FC/121/0";"Annotations Created";"标注被创建";;
"011923FC/120/0";"Annotations Deleted";"标注被删除";;
"011923FC/122/0";"Annotations Modified";"标注被修改";;
"011923FC/144/0";"File Attachment &quot;%ls&quot; Was Added";"文件附件&quot;%ls&quot;被添加";;
"011923FC/143/0";"File Attachment &quot;%ls&quot; Was Deleted";"文件附件&quot;%ls&quot;被删除";;
"011923FC/145/0";"File Attachment &quot;%ls&quot; Was Modified";"文件附件 &quot;%ls&quot; 被修改";;
"011923FC/142/0";"%d File Attachment Change(s)";"%d个文件附件被修改";;
"011923FC/137/0";"Field %s%[1] on page %d%[2]";"域：%s%[1]在第%d%[2]页上";;
"011923FC/139/0";"Form Fields Added";"表单域被添加";;
"011923FC/138/0";"Form Fields Deleted";"表单域被删除";;
"011923FC/140/0";"Form Fields Filled In";"表单域被填写";;
"011923FC/141/0";"Form Fields with Property Changes";"有属性更改的表单域";;
"011923FC/118/0";"%d Page(s) Added";"%d个页面被添加";;
"011923FC/117/0";"%d Page(s) Deleted";"%d个页面被删除";;
"011923FC/116/0";"%d Page(s) Modified";"%d个页面被修改";;
"011923FC/199/0";"Failed to create timestamp information. The timestamp server may not respond correctly.";"时间戳信息创建失败。时间戳服务器可能无法正确响应。";;
"011923FC/211/0";"New ID...";"新ID...";;
"011923FC/251/0";"Not available";"不可用";;
"011923FC/346/0";"Non Repudiation";"不可否认性";;
"011923FC/125/0";"Signing time is from the clock on the signer&apos;s computer.";"签名时间为签署者的计算机时钟时间。";;
"011923FC/99/0";"This file type is not supported. Please select a valid file.";"不支持这种文件类型。请选择一个合法的文件。";;
"011923FC/214/0";"Please enter the password! ";"请输入密码！ ";;
"011923FC/347/0";"Offline Crl Sign";"离线Crl签名";;
"011923FC/180/0";"PPDF Files (*.ppdf)|*.ppdf|";"PPDF文件(*.ppdf)|*.ppdf|";;
"011923FC/128/0";"Signature was validated as of the revocation information collection time:\n %ls";"签名从吊销信息收集时间起进行验证：\n %ls";;
"011923FC/263/0";"Certify with Visible Signature";"使用可见签名认证";;
"011923FC/264/0";"Certify without Visible Signature";"使用不可见签名认证";;
"011923FC/261/0";"Place Signature";"放置签名";;
"011923FC/255/0";"Sign &amp;&amp; Certify";"签名&amp;&amp;认证";;
"011923FC/262/0";"Sign Document";"签署文档";;
"011923FC/277/0";"Manage trusted certificates for digital signatures";"管理用于数字签名的受信任的证书";;
"011923FC/276/0";"&amp;Trusted Certificates";"受信任的证书(&amp;T)";;
"011923FC/271/0";"Validate";"验证";;
"011923FC/242/0";"Are you sure you want to delete this server entry? This timestamp server will no longer be available when signing.";"您确定您想要删除该服务器项目？这台时间戳服务器在签名时将不再可用。";;
"011923FC/237/0";"&amp;Set Default";"设为默认(&amp;S)";;
"011923FC/238/0";"C&amp;lear";"清空(&amp;L)";;
"011923FC/316/0";"Storage Mechanism";"存储机制";;
"011923FC/215/0";"Incorrect Password.";"密码错误。";;
"011923FC/328/0";"Before you delete your digital ID, ensure that it isn&apos;t used by other programs or required by any documents for decrypting. Your digital ID file will also be deleted from your %ls.\nDo you want to continue? ";"在您删除您的数字证书之前，请确认其没有被其它程序所使用或者用于解密任何文档。您的数字证书同样也会从您的%ls上进行删除。\r\n您是否想要继续？ ";;
"011923FC/325/0";"Attached is a &quot;Foxit PDF Editor FDF Data Exchange File from %ls&quot; that can be used for validating signatures and encrypting documents. Opening this file will start Foxit PDF Editor or Foxit Reader and prompt you to process the file. To open and process the file attachment, you need Foxit PhantomPDF 5.x, or Foxit Reader 5.x, or later versions.";"附件是一个可用于验证签名和加密文档的“源自%ls的福昕高级PDF编辑器FDF数据交换文件”。打开此文件将启动福昕高级PDF编辑器或福昕阅读器，并提示您处理该文件。要打开并处理文件附件，您需要福昕高级PDF编辑器 5.x或福昕阅读器 5.x或更高版本。";;
"011923FC/326/0";"Foxit PDF Editor FDF Data Exchange File from %ls";"源自%ls的福昕高级PDF编辑器数据交换文件";;
"011923FC/324/0";"CertExchange";"证书交换";;
"011923FC/327/0";"%ls\nThe file already exists. Do you want to replace existing file?";"%ls\n文件已存在。 您是否想要替换已有文件？";;
"011923FC/323/0";"Intended key usage: ";"预期的主要用途：";;
"011923FC/320/0";"Issuer: ";"颁发者：";;
"011923FC/342/0";"Not Specified";"未指定";;
"011923FC/319/0";"Name: ";"名称：";;
"011923FC/318/0";"Windows Certificate Store";"Windows证书存储中心";;
"011923FC/317/0";"Digital ID File";"数字证书文件";;
"011923FC/321/0";"Valid from: ";"生效期：";;
"011923FC/322/0";"Valid to: ";"失效期：";;
"011923FC/329/0";"Are you sure you want to delete the selected digital ID?";"您确定您想要删除选定的数字证书？";;
"011923FC/177/0";"Signature deleted at Rev.%d";"签名于修订版%d删除";;
"011923FC/179/0";"_signed";"_签署";;
"011923FC/126/0";"Signature was validated as of the signing time: \n %ls";"签名被确认的签署时间：\n%ls";;
"011923FC/286/0";"You are already viewing the current document covered by the selected signature.";"您已经在查看选定签名所覆盖的当前版本了。";;
"011923FC/60/0";"The revision of the document that was covered by this signature has not been altered; however, there have been subsequent changes to the document.";"该签名所覆盖的文档的修订本没有修改；但是有对文件做后续修改。";;
"011923FC/167/0";"The signature includes an embedded timestamp.";"该签名包含一个嵌入的时间戳。";;
"011923FC/129/0";"Signature was validated as of the secure(timestamp) time:\n %ls";"签名通过安全时间（时间戳）验证：\n%ls";;
"011923FC/135/0";"The signature includes an embedded timestamp. Timestamp time:\n %ls";"该签名包含一个嵌入的时间戳。时间戳时间：\n%ls";;
"011923FC/234/0";"Select one of the entries above and click %s%[1]  to view or change settings, or click %s%[3]  to add and configure a Time Stamp Server. Select a default server using %s%[2] . If you have selected a default server then a time stamp will be embedded with every signature that you create. ";"选择如上的任意条目，点击“%s%[1]”查看或者更改设置，或点击“ %s%[3]”添加并配置时间戳服务器。使用“%s%[2]”选择默认的服务器。如果您已经选择了默认服务器，那么此后您所创建的每一个签名都将嵌入一个时间戳。 ";;
